"run_id","block","engine","language","corpus","k","iters","threads","rep","fit_sec","wall_sec","max_rss_kb","r2","coherence_mean","coherence_median","coherence_sd","version"
"bigartm__20ng__k100__i1__t1__r1","frontier","bigartm","Python","20ng",100,1,1,1,66.0820899312,67.53,4249904,0.057957231716,0.099213967802,0.10075627172,0.023906886311,"0.9.2"
"bigartm__20ng__k100__i2__t1__r1","frontier","bigartm","Python","20ng",100,2,1,1,64.2915142793,65.72,4423856,0.23142017589,0.099139872594,0.095776294579,0.04466876906,"0.9.2"
"bigartm__20ng__k100__i5__t1__r1","frontier","bigartm","Python","20ng",100,5,1,1,71.0148697998,72.37,4428440,0.48658456862,0.14008474764,0.11918806415,0.086500096218,"0.9.2"
"bigartm__20ng__k100__i10__t1__r1","frontier","bigartm","Python","20ng",100,10,1,1,83.462327728,84.87,4428436,0.51508939156,0.14239480398,0.11726808741,0.099942596397,"0.9.2"
"bigartm__20ng__k100__i10__t2__r1","threads","bigartm","Python","20ng",100,10,2,1,72.197385313,73.57,4428176,0.51508934914,0.14239480398,0.11726808741,0.099942596397,"0.9.2"
"bigartm__20ng__k100__i10__t4__r1","threads","bigartm","Python","20ng",100,10,4,1,66.5567127429,67.95,4428172,0.51508937706,0.14239480398,0.11726808741,0.099942596397,"0.9.2"
"bigartm__20ng__k100__i10__t8__r1","threads","bigartm","Python","20ng",100,10,8,1,63.8354009357,65.18,4428692,0.51508936639,0.14239480398,0.11726808741,0.099942596397,"0.9.2"
"bigartm__20ng__k100__i10__t12__r1","threads","bigartm","Python","20ng",100,10,12,1,62.8841687399,64.3,4428124,0.51508939248,0.14239480398,0.11726808741,0.099942596397,"0.9.2"
"bigartm__20ng__k100__i25__t1__r1","frontier","bigartm","Python","20ng",100,25,1,1,122.7857953762,124.12,4427908,0.50015888701,0.12812374626,0.10115531204,0.095592945037,"0.9.2"
"gensim__20ng__k100__i1__t1__r1","frontier","gensim","Python","20ng",100,1,1,1,10.232801402,18.2,249668,0.4218228026,0.099755659386,0.079020071269,0.094240465672,"4.4.0"
"gensim__20ng__k100__i2__t1__r1","frontier","gensim","Python","20ng",100,2,1,1,18.6005679178,26.14,244636,0.45546426622,0.10463926369,0.087401368196,0.10095689832,"4.4.0"
"gensim__20ng__k100__i5__t1__r1","frontier","gensim","Python","20ng",100,5,1,1,42.814967067,50.17,250340,0.46945531698,0.1041272195,0.08640620963,0.10150624135,"4.4.0"
